MlsNumber,PostalCode,Price,PropertyType,Address,Longitude,Latitude,BuildingType,Bathrooms,Bedrooms,Stories,Size,RealEstateCompany,ElectoralDiv,FullBedrooms,OtherRooms,HouseNumber,NumSum,LotArea
N4627496,L6E2G4,888888,Single Family,"32 GORDON WEEDEN RD|Markham, Ontario L6E2G4",-79.24936590000002,43.9073018,House,3.0,3,2.0,30.18 x 88.58 FT,HOMELIFE GOLCONDA REALTY INC.,Markham--Stouffville,3,0,32.0,5.0,2673.3444
N4652321,L4G1G5,649000,Single Family,"29 CHURCH ST|Aurora, Ontario L4G1G5",-79.46535659999998,43.9968125,House,2.0,3,2.0,60 x 60 FT,ICI SOURCE REAL ASSET SERVICES INC.,Aurora--Oak Ridges--Richmond Hill,3,0,29.0,2.0,3600.0
N4652187,L4E3L9,2988000,Single Family,"51 HIGH OAK TR|Richmond Hill, Ontario L4E3L9",-79.4252474,43.9309346,House,6.0,4 + 2,2.0,213 FT   ; Irregular Lot 2.44 Acres. As Per Survey|2 - 4.99 acres,HOMELIFE LANDMARK REALTY INC.,Aurora--Oak Ridges--Richmond Hill,4,2,51.0,6.0,106286.4
N4652055,L4S1G6,1299000,Single Family,"77 LUBA AVE|Richmond Hill, Ontario L4S1G6",-79.4290488,43.90882420000001,House,4.0,4 + 2,2.0,49.48 x 109.91 FT,RE/MAX HALLMARK REALTY LTD.,Aurora--Oak Ridges--Richmond Hill,4,2,77.0,5.0,5438.346799999999
N4651915,L4G2C4,718800,Single Family,"97 MURRAY DR|Aurora, Ontario L4G2C4",-79.47203640000002,43.9835137,House,2.0,3 + 1,1.0,50 x 140 FT,RE/MAX ALL-STARS THE PB TEAM REALTY,Aurora--Oak Ridges--Richmond Hill,3,1,97.0,7.0,7000.0
N4651858,L4E4G3,1150000,Single Family,"82 ANTIQUE DR|Richmond Hill, Ontario L4E4G3",-79.4447429,43.9423269,House,4.0,3,2.0,34.45 x 115.75 FT,IPRO REALTY LTD.,Aurora--Oak Ridges--Richmond Hill,3,0,82.0,1.0,3987.5875000000005
N4651439,L4A7X5,1250000,Single Family,"13452 KENNEDY RD|Whitchurch-Stouffville, Ontario L4A7X5",-79.3357107585903,43.983008845746795,House,3.0,3,1.0,132 x 165 FT|1/2 - 1.99 acres,RE/MAX HALLMARK REALTY LTD.,Markham--Stouffville,3,0,13452.0,6.0,21780.0
N4651086,L4A0A6,698000,Single Family,"194 DOUGHERTY CRES|Whitchurch-Stouffville, Ontario L4A0A6",-79.2580037,43.96377260000001,House,3.0,4,2.0,7.5 x 30.17 M,GALLO REAL ESTATE LTD.,Markham--Stouffville,4,0,194.0,5.0,226.275
N4650936,L4E4W8,1250000,Single Family,"78 COZENS DR|Richmond Hill, Ontario L4E4W8",-79.4733987,43.9340061,House,3.0,3 + 1,2.0,33 x 81 FT ; Pie Shaped,HOMELIFE NEW WORLD REALTY INC.,Aurora--Oak Ridges--Richmond Hill,3,1,78.0,6.0,2673.0
N4650735,L4A1S1,889999,Single Family,"27 HOOVER PARK DR|Whitchurch-Stouffville, Ontario L4A1S1",-79.2214271,43.9708415,House,3.0,4,2.0,40.03 x 85.3 FT ; Look Out Basement,NOBLE GRPS REAL ESTATE INCORPORATED,Markham--Stouffville,4,0,27.0,9.0,3414.559
N4650614,L4G6R2,1110000,Single Family,"159 DAWLISH AVE|Aurora, Ontario L4G6R2",-79.48015720000002,43.9671887,House,3.0,4,2.0,35.76 x 113.42 FT,RE/MAX REALTRON REALTY INC.,Aurora--Oak Ridges--Richmond Hill,4,0,159.0,6.0,4055.8992
N4650280,L4A5C5,1139000,Single Family,"275 DEBBORAH PL|Whitchurch-Stouffville, Ontario L4A5C5",-79.23747159999998,43.97801610000001,House,4.0,4 + 1,2.0,148.33 x 105.08 FT ; Area 6253.83 Ft,RE/MAX REALTRON REALTY INC.,Markham--Stouffville,4,1,275.0,5.0,15586.5164
N4650296,L4G3X3,2980000,Single Family,"148 BOTELHO CIRC|Aurora, Ontario L4G3X3",-79.4228839142322,44.0078683628911,House,5.0,5,2.0,60.04 x 142.97 FT,CENTURY 21 ATRIA REALTY INC.,Aurora--Oak Ridges--Richmond Hill,5,0,148.0,4.0,8583.9188
N4649970,L4E0T2,1888000,Single Family,"59 HEADWATER CRES|Richmond Hill, Ontario L4E0T2",-79.4457025,43.946137799999995,House,6.0,4 + 2,2.0,47.01 x 114.9 FT,HOMELIFE LANDMARK REALTY INC.,Aurora--Oak Ridges--Richmond Hill,4,2,59.0,5.0,5401.449
N4649862,L4E2V8,3388000,Single Family,"31 GEORGE ST|Richmond Hill, Ontario L4E2V8",-79.4635548,43.944003,House,6.0,4 + 2,2.0,56 x 134 FT,RE/MAX HALLMARK REALTY LTD.,Aurora--Oak Ridges--Richmond Hill,4,2,31.0,4.0,7504.0
N4649722,L4G3E2,849900,Single Family,"10 BANFF DR|Aurora, Ontario L4G3E2",-79.4791332,44.0055102,House,2.0,3,,57 x 108 FT,RIGHT AT HOME REALTY INC.,Newmarket--Aurora,3,0,10.0,1.0,6156.0
N4649347,L4G3R4,769900,Single Family,"28 MOORCREST DR|Aurora, Ontario L4G3R4",-79.46509300000002,44.0125437,House,4.0,3 + 1,2.0,34.12 x 100 FT,KELLER WILLIAMS REALTY CENTRES,Newmarket--Aurora,3,1,28.0,1.0,3411.9999999999995
N4649165,L4A0M5,850000,Single Family,"63 JONAS MILLWAY WAY|Whitchurch-Stouffville, Ontario L4A0M5",-79.2327052,43.963658,House,4.0,4,2.0,36.09 x 85.3 FT,RIGHT AT HOME REALTY INC.,Markham--Stouffville,4,0,63.0,9.0,3078.4770000000003
N4648754,L4E4B1,749999,Single Family,"15 LONGWOOD AVE|Richmond Hill, Ontario L4E4B1",-79.47357650000002,43.9395922,House,1.0,3,2.0,30 x 83 FT,HOMELIFE CLASSIC REALTY INC.,Aurora--Oak Ridges--Richmond Hill,3,0,15.0,6.0,2490.0
N4648707,L4G0M3,1888000,Single Family,"243 RIDGE RD|Aurora, Ontario L4G0M3",-79.470557,43.9697772,House,4.0,5,2.0,145.01 x 499.81 FT   ; 1.63 Acres|1/2 - 1.99 acres,TOP CANADIAN REALTY INC.,Aurora--Oak Ridges--Richmond Hill,5,0,243.0,9.0,72477.4481
N4648560,L4G6B2,1099000,Single Family,"3 PINEHURST CRT|Aurora, Ontario L4G6B2",-79.4791112,43.9901364,House,3.0,3 + 2,1.0,54.13 x 131.3 FT ; As Per Mpac,HOMELIFE/CIMERMAN REAL ESTATE LIMITED,Aurora--Oak Ridges--Richmond Hill,3,2,3.0,3.0,7107.269000000001
N4648474,L4G1P5,849000,Single Family,"101 GURNETT ST|Aurora, Ontario L4G1P5",-79.46480179999998,43.995551899999995,House,3.0,4 + 1,2.0,42.9 x 165 FT,ROYAL LEPAGE YOUR COMMUNITY REALTY,Aurora--Oak Ridges--Richmond Hill,4,1,101.0,2.0,7078.5
N4648418,L4A0S8,799999,Single Family,"558 HOOVER PARK DR|Whitchurch-Stouffville, Ontario L4A0S8",-79.24457690000001,43.964776,House,4.0,3 + 1,2.0,30.02 x 110.58 FT,RE/MAX ALL-STARS REALTY INC.,Markham--Stouffville,3,1,558.0,9.0,3319.6115999999997
N4648385,L4E1E7,1180000,Single Family,"40 THORNAPPLE LANE|Richmond Hill, Ontario L4E1E7",-79.447535,43.9648663,House,4.0,4,2.0,38.06 x 101.15 FT,BAY STREET GROUP INC.,Aurora--Oak Ridges--Richmond Hill,4,0,40.0,4.0,3849.7690000000002
N4648289,L4E4W2,1159000,Single Family,"46 BROCKDALE ST|Richmond Hill, Ontario L4E4W2",-79.4774854,43.9338325,House,4.0,4,2.0,36.09 x 104.99 FT,EDOJIA REALTY INC.,Aurora--Oak Ridges--Richmond Hill,4,0,46.0,1.0,3789.0891
N4647633,L4A2Z9,825000,Single Family,"6011 MAIN ST|Whitchurch-Stouffville, Ontario L4A2Z9",-79.2562374,43.9690088,House,2.0,2,1.0,64 x 120 FT,GALLO REAL ESTATE LTD.,Markham--Stouffville,2,0,6011.0,8.0,7680.0
N4647238,L4E4R8,1788000,Single Family,"28 PAGEAN DR|Richmond Hill, Ontario L4E4R8",-79.44028109999998,43.965071200000004,House,4.0,4,2.0,49.21 x 115.12 FT,CULTURELINK REALTY INC.,Aurora--Oak Ridges--Richmond Hill,4,0,28.0,1.0,5665.055200000001
N4646978,L4A5E5,899999,Single Family,"109 ALDERWOOD ST|Whitchurch-Stouffville, Ontario L4A5E5",-79.23875059999997,43.9796099,House,4.0,4,2.0,30 x 110.55 FT ; Rear 76.97 X 114.69-Pie Shaped,CENTURY 21 LEADING EDGE REALTY INC.,Markham--Stouffville,4,0,109.0,1.0,3316.5
N4646802,L4E1G8,1639000,Single Family,"132 DRIZZEL CRES|Richmond Hill, Ontario L4E1G8",-79.47705215879509,43.9407873736516,House,4.0,4,2.0,40 x 101 FT,RIGHT AT HOME REALTY INC.,Aurora--Oak Ridges--Richmond Hill,4,0,132.0,6.0,4040.0
N4646798,L4E2V7,1200000,Single Family,"19 GEORGE ST|Richmond Hill, Ontario L4E2V7",-79.46206049999998,43.9442696,House,3.0,6,1.5,91.59 x 132.23 FT,FOREST HILL REAL ESTATE INC.,Aurora--Oak Ridges--Richmond Hill,6,0,19.0,1.0,12110.9457
N4646739,L4E4E5,1198888,Single Family,"1 EMILY CRT|Richmond Hill, Ontario L4E4E5",-79.4486776,43.952159,House,3.0,4,2.0,42.68 x 164 FT,CENTURY 21 HERITAGE GROUP LTD.,Aurora--Oak Ridges--Richmond Hill,4,0,1.0,1.0,6999.5199999999995
N4646660,L4G7Y6,2899900,Single Family,"160 BOTELHO CIRC|Aurora, Ontario L4G7Y6",-79.42553167287609,44.0077817301025,House,5.0,5,2.0,78 x 159 FT ; *Backs To Magna Golf Club* East 154.5',RE/MAX REALTRON BARRY COHEN HOMES INC.,Aurora--Oak Ridges--Richmond Hill,5,0,160.0,7.0,12402.0
N4646436,L4E2M3,1599900,Single Family,"59 COATES CRES|Richmond Hill, Ontario L4E2M3",-79.45294059999998,43.954459299999996,House,4.0,4 + 1,2.0,55.61 x 132.41 FT,AIMHOME REALTY INC.,Aurora--Oak Ridges--Richmond Hill,4,1,59.0,5.0,7363.3201
E4646347,L1Y1A3,1399000,Single Family,"5455 HOXTON ST|Pickering, Ontario L1Y1A3",-79.1371098,43.9875607,House,4.0,3 + 3,1.0,8 Acre|5 - 9.99 acres,PURPLEBRICKS,Pickering--Uxbridge,3,3,5455.0,1.0,348480.0
N4646053,L5E1G6,1438000,Single Family,"59 MENOTTI DR|Richmond Hill, Ontario L5E1G6",-79.4783449,43.9413347,House,4.0,4 + 1,2.0,40 x 98.74 FT,CENTURY 21 PEOPLE'S CHOICE REALTY INC.,Aurora--Oak Ridges--Richmond Hill,4,1,59.0,5.0,3949.6
N4645538,L4A7X5,990000,Single Family,"4319 STOUFFVILLE RD|Whitchurch-Stouffville, Ontario L4A7X5",-79.3130137,43.9564395,House,1.0,3,1.0,131.99 x 138 FT,HOMELIFE LANDMARK RH REALTY,Markham--Stouffville,3,0,4319.0,8.0,18214.620000000003
N4645537,L4G1C9,1160000,Single Family,"81 CRANE ST|Aurora, Ontario L4G1C9",-79.4341682,44.0198805,House,3.0,4,2.0,39.3 x 92.08 FT,HOME LEGEND REALTY INC.,Newmarket--Aurora,4,0,81.0,9.0,3618.7439999999997
N4645239,L4E2Z1,1588000,Single Family,"82 PUCCINI DR|Richmond Hill, Ontario L4E2Z1",-79.4781665,43.94242970000001,House,5.0,5,2.0,49.87 x 138.45 FT ; Extra Deep Lot,FOREST HILL REAL ESTATE INC.,Aurora--Oak Ridges--Richmond Hill,5,0,82.0,1.0,6904.501499999999
N4644795,L4A7X7,1999000,Single Family,"152 UXBRIDGE PICKERING T RD|Uxbridge, Ontario L4A7X7",-79.24229559999998,43.9741113,House,1.0,2 + 2,1.0,410.49 x 1318.52 FT   ; Irreg Lot|10 - 24.99 acres,RE/MAX HALLMARK CORBO & KELOS GROUP REALTY LTD.,Markham--Stouffville,2,2,152.0,8.0,541239.2748
N4644717,L4A4J5,725000,Single Family,"94 LLOYD ST|Whitchurch-Stouffville, Ontario L4A4J5",-79.2488813,43.968200599999996,House,1.0,3 + 1,1.0,58 x 132 FT ; Irregular,RE/MAX ALL-STARS REALTY INC.,Markham--Stouffville,3,1,94.0,4.0,7656.0
N4644459,L4A3S4,2988800,Single Family,"23 WILLIAM ANDREW AVE|Whitchurch-Stouffville, Ontario L4A3S4",-79.3068177,44.0113901,House,5.0,4 + 1,2.0,190.26 FT|1/2 - 1.99 acres,RE/MAX REALTRON REALTY INC.,Markham--Stouffville,4,1,23.0,5.0,86684.4
N4644157,L4A3Y7,8750000,Single Family,"13383 KENNEDY RD|Whitchurch-Stouffville, Ontario L4A3Y7",-79.3302436,43.9821093,House,3.0,5,2.0,129 Acre|100+ acres,LACEBY REAL ESTATE LIMITED,Markham--Stouffville,5,0,13383.0,9.0,5619240.0
N4644111,L4E2V9,1258800,Single Family,"7 HUGHES ST|Richmond Hill, Ontario L4E2V9",-79.4620682,43.94398029999999,House,2.0,3,1.0,53 x 139 FT ; 139.32Ft X 53.87Ft X 139.34Ft X 53.04Ft,SUTTON GROUP-SECURITY REAL ESTATE INC.,Aurora--Oak Ridges--Richmond Hill,3,0,7.0,7.0,7367.0
N4644107,L4E0P6,1599999,Single Family,"277 SELWYN RD|Richmond Hill, Ontario L4E0P6",-79.470582,43.91771110000001,House,5.0,4 + 1,2.0,76.12 x 90 FT ; Premium Corner Lot!  Sunny From Windows,HOMELIFE FRONTIER REALTY INC.,Aurora--Oak Ridges--Richmond Hill,4,1,277.0,7.0,6850.8
N4643828,L4E3A2,1188888,Single Family,"331 NORTH LAKE RD|Richmond Hill, Ontario L4E3A2",-79.4438198,43.9505702,House,4.0,5,2.0,60.24 x 85 FT ; ***House Facing Ravine***,HOMELIFE WOODBINE REALTY INC.,Aurora--Oak Ridges--Richmond Hill,5,0,331.0,7.0,5120.400000000001
N4643743,L4E1E9,1490000,Single Family,"8 MACDONALD CRT|Richmond Hill, Ontario L4E1E9",-79.442267871078,43.962082045001104,House,5.0,4,2.0,41.99 x 95.31 FT ; Irregular As Per Attached Survey,HOMELIFE LANDMARK REALTY INC.,Aurora--Oak Ridges--Richmond Hill,4,0,8.0,8.0,4002.0669000000003
N4643692,L4E3G2,5299000,Single Family,"719 SUNSET BEACH RD|Richmond Hill, Ontario L4E3G2",-79.42955429999998,43.9479327,House,7.0,5 + 1,2.0,64.21 x 62.43 FT ; 64.21Ft X 162.4Ft X 53.40Ft X 137.59Ft,ALLIANCE REALTY INC.,Aurora--Oak Ridges--Richmond Hill,5,1,719.0,8.0,4008.6303
N4643595,L4A7G9,1395000,Single Family,"461 CAM FELLA BLVD|Whitchurch-Stouffville, Ontario L4A7G9",-79.2257009,43.9787327,House,3.0,3 + 1,2.0,132.45 x 229.59 FT   ; 0.69 Acre-Slightly Irregular|1/2 - 1.99 acres,CENTURY 21 LEADING EDGE REALTY INC.,Markham--Stouffville,3,1,461.0,2.0,30409.195499999998
N4643477,L4E4Z1,1029000,Single Family,"17 PEXTON AVE|Richmond Hill, Ontario L4E4Z1",-79.45572659999998,43.9252441,House,3.0,3,2.0,36.09 x 88.58 FT,RE/MAX REALTRON REALTY INC.,Aurora--Oak Ridges--Richmond Hill,3,0,17.0,8.0,3196.8522000000003
N4642993,L4E3H5,1599000,Single Family,"170 DOUGLAS RD|Richmond Hill, Ontario L4E3H5",-79.4461838,43.9448667,House,4.0,4,2.0,49.25 x 284.52 FT,KELLER WILLIAMS REALTY CENTRES,Aurora--Oak Ridges--Richmond Hill,4,0,170.0,8.0,14012.609999999999
30779096,L4E3H5,1599000,Single Family,"170 Douglas Road|Richmond Hill, Ontario L4E3H5",-79.44618299999998,43.944944,House,4.0,4,2.0,under 1/2 acre,Keller Williams Realty Centres Brokerage,Aurora--Oak Ridges--Richmond Hill,4,0,170.0,8.0,21780.0
E4642871,L4A0G2,999900,Single Family,"82 LITTLE ROUGE CIRC|Whitchurch-Stouffville, Ontario L4A0G2",-79.2658635,43.9560816,House,4.0,5,2.0,44.95 x 88.58 FT,REAL ESTATE ADVISORS INC.,Markham--Stouffville,5,0,82.0,1.0,3981.6710000000003
N4642435,L4A3Y2,1898000,Single Family,"14059 MCCOWAN RD|Whitchurch-Stouffville, Ontario L4A3Y2",-79.31089,44.005733299999996,House,4.0,4,1.5,247.5 FT   ; 7.89 Ac|5 - 9.99 acres,ROYAL LEPAGE RCR REALTY,Markham--Stouffville,4,0,14059.0,1.0,343688.39999999997
N4642417,L4E0T4,1475000,Single Family,"40 KELLOGG CRES|Richmond Hill, Ontario L4E0T4",-79.4795067,43.9480275,House,5.0,4 + 1,2.0,42.81 x 110.56 FT,TOP CANADIAN REALTY INC.,Aurora--Oak Ridges--Richmond Hill,4,1,40.0,4.0,4733.073600000001
N4642372,L4G1V2,999800,Single Family,"15 WENDERLY DR|Aurora, Ontario L4G1V2",-79.45959930000002,43.9903493,House,3.0,2 + 1,1.0,51 x 111.31 FT,CENTURY 21 LEADING EDGE REALTY INC.,Aurora--Oak Ridges--Richmond Hill,2,1,15.0,6.0,5676.81
N4642138,L4G1S8,749000,Single Family,"47 WELLS ST|Aurora, Ontario L4G1S8",-79.46329109999998,43.9990505,House,1.0,3,1.0,41.5 x 102 FT,CENTURY 21 HERITAGE GROUP LTD.,Aurora--Oak Ridges--Richmond Hill,3,0,47.0,2.0,4233.0
N4642139,L4E4E9,888000,Single Family,"41 CIDER CRES|Richmond Hill, Ontario L4E4E9",-79.4729722,43.939380799999995,House,3.0,4 + 1,2.0,30.02 x 83.01 FT,ONE PERCENT REALTY LTD.,Aurora--Oak Ridges--Richmond Hill,4,1,41.0,5.0,2491.9602
N4642126,L4A3C9,1298000,Single Family,"13897 NINTH LINE|Whitchurch-Stouffville, Ontario L4A3C9",-79.26401700000002,44.010017,House,3.0,4 + 1,,125 x 400 FT   ; 1.15 Acres|1/2 - 1.99 acres,MAIN STREET REALTY LTD.,Markham--Stouffville,4,1,13897.0,1.0,50000.0
N4642071,L4E3B4,1098000,Single Family,"25 WILLOWBANK AVE|Richmond Hill, Ontario L4E3B4",-79.43697309999997,43.9517842,House,1.0,2,1.0,30 x 97.75 FT,SUPERSTARS REALTY LTD.,Aurora--Oak Ridges--Richmond Hill,2,0,25.0,7.0,2932.5
N4641858,L4G2M6,2750000,Single Family,"133 HILLVIEW RD|Aurora, Ontario L4G2M6",-79.47489279999998,43.9945686,House,4.0,4,2.0,65 x 198.56 FT,ROYAL LEPAGE TERREQUITY REALTY,Aurora--Oak Ridges--Richmond Hill,4,0,133.0,7.0,12906.4
N4641623,L4S0C1,1399000,Single Family,"59 SHALLOT CRT|Richmond Hill, Ontario L4S0C1",-79.4648337,43.90282120000001,House,4.0,4,2.0,37.5 x 128.21 FT,HOMELIFE/PROHILL REALTY LTD.,Aurora--Oak Ridges--Richmond Hill,4,0,59.0,5.0,4807.875
N4641376,L5T3A3,4688000,Single Family,"#LOT 3 -190 KENNEDY ST W|Aurora, Ontario L5T3A3",-79.47802259999997,43.99278560000001,House,6.0,4 + 1,2.0,70 x 300 FT   ; Irregular Lot- Pie Shapped|1/2 - 1.99 acres,HAMMOND INTERNATIONAL PROPERTIES LIMITED,Aurora--Oak Ridges--Richmond Hill,4,1,,,21000.0
N4641379,L4G2L7,4688000,Single Family,"#LOT 1 -190 KENNEDY ST W|Aurora, Ontario L4G2L7",-79.47802259999997,43.99278560000001,House,6.0,4 + 1,2.0,82 x 245.86 FT   ; Irregular-Pie Shapped|1/2 - 1.99 acres,HAMMOND INTERNATIONAL PROPERTIES LIMITED,Aurora--Oak Ridges--Richmond Hill,4,1,,,20160.52
N4641103,L4E4M3,1398000,Single Family,"65 MALLARD MARSH CRES|Richmond Hill, Ontario L4E4M3",-79.47875970000003,43.955844899999995,House,4.0,4,2.0,40.03 x 114.83 FT,CENTURY 21 HERITAGE GROUP LTD.,Aurora--Oak Ridges--Richmond Hill,4,0,65.0,2.0,4596.6449
N4641090,L4A2T6,938888,Single Family,"23 GREEN SPRUCE RD|Whitchurch-Stouffville, Ontario L4A2T6",-79.26266,43.977488799999996,House,6.0,3,2.0,34.81 x 90.86 FT ; ***Absolutely Stunning Home***,RIGHT AT HOME REALTY INC.,Markham--Stouffville,3,0,23.0,5.0,3162.8366
N4640731,L4A0M4,698000,Single Family,"6 JONAS MILL WAY|Whitchurch-Stouffville, Ontario L4A0M4",-79.2344892,43.962838399999995,House,3.0,3,2.0,24.61 x 85.4 FT,HOMELIFE/BAYVIEW REALTY INC.,Markham--Stouffville,3,0,6.0,6.0,2101.694
N4640725,L4G6X2,2698888,Single Family,"22 MCROBERTS PL|Aurora, Ontario L4G6X2",-79.4802839,43.9622175,House,6.0,5 + 1,2.0,144 x 310 FT ; Backs To Mature Trees 1.84Ac (Irreg),THE LIND REALTY TEAM INC.,Aurora--Oak Ridges--Richmond Hill,5,1,22.0,4.0,44640.0
N4640275,L4G1Z1,649900,Single Family,"32 RICHARDSON DR|Aurora, Ontario L4G1Z1",-79.47031159999997,43.9820737,House,2.0,3 + 1,2.0,37.17 x 110 FT,CENTURY 21 LEADING EDGE REALTY INC.,Aurora--Oak Ridges--Richmond Hill,3,1,32.0,5.0,4088.7000000000003
N4639466,L4G7R4,889900,Single Family,"46 GATEWAY DR|Aurora, Ontario L4G7R4",-79.4557316,44.0182613,House,3.0,3,2.0,38.57 x 82.02 FT,RE/MAX HALLMARK REALTY LTD.,Newmarket--Aurora,3,0,46.0,1.0,3163.5114
N4639412,L4G2V2,1249900,Single Family,"12 SUNRAY PL|Aurora, Ontario L4G2V2",-79.47585169999998,44.0006616,House,3.0,4 + 1,2.0,48.57 x 144.63 FT,KELLER WILLIAMS REALTY CENTRES,Newmarket--Aurora,4,1,12.0,3.0,7024.679099999999
N4639248,L4E0L7,1099000,Single Family,"42 BOWKETT DR|Richmond Hill, Ontario L4E0L7",-79.46908409999998,43.9186946,House,3.0,4,2.0,36.09 x 88.58 FT,RE/MAX REALTRON REALTY INC.,Aurora--Oak Ridges--Richmond Hill,4,0,42.0,6.0,3196.8522000000003
N4639183,L4S2B6,1750000,Single Family,"31 LINDA MARGARET CRES|Richmond Hill, Ontario L4S2B6",-79.42973020000002,43.9100495,House,5.0,5,2.0,45.11 x 113.8 FT,HOMELIFE NEW WORLD REALTY INC.,Aurora--Oak Ridges--Richmond Hill,5,0,31.0,4.0,5133.518
N4638703,L4M3X1,2464900,Single Family,"LOT 10 LIMERICK ST|Richmond Hill, Ontario L4M3X1",-79.4484985,43.9566313,House,5.0,4,2.0,17.48 x 26.62 M ; Irreg Rear 21.15M South Is 32.3M,HARVEY KALLES REAL ESTATE LTD.,Aurora--Oak Ridges--Richmond Hill,4,0,,,465.3176
N4638436,L4M3X1,2464900,Single Family,"LOT 12 LIMERICK ST|Richmond Hill, Ontario L4M3X1",-79.44854509999998,43.956777,House,5.0,4,2.0,13.97 x 29.36 M ; Irregular Lot Rear 37.55M North 39.56,HARVEY KALLES REAL ESTATE LTD.,Aurora--Oak Ridges--Richmond Hill,4,0,,,410.1592
N4638338,L4M3X1,2219900,Single Family,"LOT 19 LIMERICK ST|Richmond Hill, Ontario L4M3X1",-79.44795040000002,43.95703510000001,House,4.0,4,2.0,35.08 x 29 M,HARVEY KALLES REAL ESTATE LTD.,Aurora--Oak Ridges--Richmond Hill,4,0,,,1017.3199999999999
N4638168,L4A1J7,999900,Single Family,"69 FAIRGATE CRES|Whitchurch-Stouffville, Ontario L4A1J7",-79.2453394,43.9766996,House,2.0,2,1.0,59 x 102.95 FT,HOMELIFE/BAYVIEW REALTY INC.,Markham--Stouffville,2,0,69.0,6.0,6074.05
N4638172,L6C1A5,4188000,Single Family,"8 THOMAS REID RD|Markham, Ontario L6C1A5",-79.37033570000001,43.9052631,House,8.0,5 + 1,2.0,102.42 x 211.7 FT ; Slightly Irreg 129.19 Rear 195.96 North,RE/MAX IMPERIAL REALTY INC.,Markham--Unionville,5,1,8.0,8.0,21682.314
