MlsNumber,PostalCode,Price,PropertyType,Address,Longitude,Latitude,BuildingType,Bathrooms,Bedrooms,Stories,Size,RealEstateCompany,FullBedrooms,OtherRooms,LotArea,ElectoralDiv
N4590750,L4A2Y3,479000.0,Single Family,"10 ROSEHILL DR|Whitchurch-Stouffville, Ontario L4A2Y3",-79.2762875,44.0339,House,1.0,2,1.0,45 x 100 FT,TOP CANADIAN REALTY INC.,2.0,0,4500.0,Markham--Stouffville
N4590678,L4G7T4,1795000.0,Single Family,"37 DUNCTON WOOD CRES|Aurora, Ontario L4G7T4",-79.49737059999998,44.0136158,House,4.0,4 + 1,2.0,84.97 x 133.17 FT,CENTURY 21 ACTIVE LIFESTYLES LTD.,4.0,1,11315.4549,Newmarket--Aurora
N4590669,L4G2L2,2998000.0,Single Family,"36 DODIE ST|Aurora, Ontario L4G2L2",-79.47456319999998,43.9910215,House,7.0,4,2.0,21 x 35.29 M|1/2 - 1.99 acres,BETTER HOMES AND GARDENS REAL ESTATE RADISSON REALTY,4.0,0,741.09,Aurora--Oak Ridges--Richmond Hill
N4590482,L4E4T7,899900.0,Single Family,"5 ALOE AVE|Richmond Hill, Ontario L4E4T7",-79.4423798,43.954388200000004,House,4.0,4 + 1,2.0,31 x 110 FT ; Premium Pie Shaped Lot!,HOMELIFE EAGLE REALTY INC.,4.0,1,3410.0,Aurora--Oak Ridges--Richmond Hill
N4590425,L4G4P3,899000.0,Single Family,"38 CRAWFORD ROSE DR|Aurora, Ontario L4G4P3",-79.4844718,44.0015326,House,2.0,3,2.0,35.1 x 100.4 FT,KELLER WILLIAMS REALTY CENTRES,3.0,0,3524.0400000000004,Newmarket--Aurora
N4590199,L3X0E4,1099000.0,Single Family,"1169 STUFFLES CRES|Newmarket, Ontario L3X0E4",-79.42219,44.0333495,House,4.0,5 + 1,2.0,41 x 117 FT,REAL ONE REALTY INC.,5.0,1,4797.0,Newmarket--Aurora
N4590158,L4A3Z3,1749000.0,Single Family,"2982 BETHESDA RD|Whitchurch-Stouffville, Ontario L4A3Z3",-79.3579575,43.9667747,House,3.0,3,2.0,129 x 170 FT|1/2 - 1.99 acres,ROYAL LEPAGE URBAN REALTY,3.0,0,21930.0,Markham--Stouffville
N4590140,L4E5C5,929900.0,Single Family,"158 OLD COLONY RD|Richmond Hill, Ontario L4E5C5",-79.4443179,43.9382262,House,4.0,3 + 1,2.0,38.48 x 98.59 FT,HOMELIFE EAGLE REALTY INC.,3.0,1,3793.7432,Aurora--Oak Ridges--Richmond Hill
N4590107,L4E2M6,1995000.0,Single Family,"16 BLACK WILLOW CRT|Richmond Hill, Ontario L4E2M6",-79.465884,43.95627070000001,House,4.0,4 + 2,2.0,85 x 177 FT,ROYAL LEPAGE YOUR COMMUNITY REALTY,4.0,2,15045.0,Aurora--Oak Ridges--Richmond Hill
N4590048,L7B1G6,1337000.0,Single Family,"49 BANNER LANE|King, Ontario L7B1G6",-79.520077,43.929352200000004,House,2.0,3 + 1,1.0,2 x 3 Acre   ; ** Huge Private Fenced Lot!! **|1/2 - 1.99 acres,RE/MAX WEST SIGNATURE REALTY INC.,3.0,1,130680.0,King--Vaughan
N4589951,L4E2J2,949900.0,Single Family,"22 FERN VALLEY CRES|Richmond Hill, Ontario L4E2J2",-79.4724319,43.958610799999995,House,4.0,4,2.0,49.57 x 152.36 FT ; Premium 50X152Ft Deep Lot!,HOMELIFE EAGLE REALTY INC.,4.0,0,7552.485200000001,Aurora--Oak Ridges--Richmond Hill
N4589767,L4A7X5,999900.0,Single Family,"5062 STOUFFVILLE RD|Whitchurch-Stouffville, Ontario L4A7X5",-79.2862643,43.9628885,House,3.0,4 + 2,2.0,105 x 105 FT,RE/MAX WEST REALTY INC.,4.0,2,11025.0,Markham--Stouffville
N4589756,L4E3S6,1189888.0,Single Family,"50 TIMBER VALLEY AVE|Richmond Hill, Ontario L4E3S6",-79.46482929999998,43.93918220000001,House,4.0,4,2.0,51.5 x 82.02 FT,KELLER WILLIAMS REFERRED URBAN REALTY,4.0,0,4224.03,Aurora--Oak Ridges--Richmond Hill
N4589714,L7B1L1,869000.0,Single Family,"28 WILLIAM ST|King, Ontario L7B1L1",-79.52237190000002,43.930606,House,1.0,3,1.0,50 x 200 FT,RE/MAX WEST REALTY INC.,3.0,0,10000.0,King--Vaughan
N4589610,L4E3A7,1699900.0,Single Family,"473 NORTH LAKE RD|Richmond Hill, Ontario L4E3A7",-79.4393457,43.9518203,House,2.0,2,,45 x 175 FT,CENTURY 21 KING'S QUAY REAL ESTATE INC.,2.0,0,7875.0,Aurora--Oak Ridges--Richmond Hill
N4589578,L3X1S5,888888.0,Single Family,"328 JELLEY AVE|Newmarket, Ontario L3X1S5",-79.465541,44.027767,House,3.0,4,2.0,56 x 120 FT,ZOLO REALTY,4.0,0,6720.0,Newmarket--Aurora
N4589450,L4E0C4,1088000.0,Single Family,"26 ROUTLEDGE DR|Richmond Hill, Ontario L4E0C4",-79.47341800000002,43.932119799999995,House,6.0,5 + 1,2.0,45 x 88.58 FT,RE/MAX EXCEL REALTY LTD.,5.0,1,3986.1,Aurora--Oak Ridges--Richmond Hill
N4589425,L4G0X9,1188000.0,Single Family,"23 CROCKART LANE|Aurora, Ontario L4G0X9",-79.43878649999998,44.028035700000004,House,4.0,4,2.0,35.99 x 96.78 FT,ROYAL LEPAGE YOUR COMMUNITY REALTY,4.0,0,3483.1122,Newmarket--Aurora
N4589374,L4E3C7,849000.0,Single Family,"92 OLDE BAYVIEW AVE|Richmond Hill, Ontario L4E3C7",-79.432478,43.952682700000004,House,1.0,2,1.0,25 x 100 FT,KELLER WILLIAMS REFERRED REALTY,2.0,0,2500.0,Aurora--Oak Ridges--Richmond Hill
N4589298,L4E4N7,1188000.0,Single Family,"164 WORTHINGTON AVE|Richmond Hill, Ontario L4E4N7",-79.4421054,43.9571539,House,4.0,4 + 2,2.0,40.09 x 107.85 FT,CENTURY 21 HERITAGE GROUP LTD.,4.0,2,4323.7065,Aurora--Oak Ridges--Richmond Hill
N4589284,L4E3W1,848800.0,Single Family,"38 COLONIAL CRES|Richmond Hill, Ontario L4E3W1",-79.4443473,43.940742,House,4.0,4,2.0,24.61 x 112.37 FT,CENTURY 21 ATRIA REALTY INC.,4.0,0,2765.4257,Aurora--Oak Ridges--Richmond Hill
N4589248,L4E3A5,1599000.0,Single Family,"7 WESTLEA AVE|Richmond Hill, Ontario L4E3A5",-79.4429751,43.9498887,House,6.0,5 + 2,2.0,50 x 153 FT ; Irreg 208 On North Side,RIGHT AT HOME REALTY INC.,5.0,2,7650.0,Aurora--Oak Ridges--Richmond Hill
N4589236,L7B1E6,2550000.0,Single Family,"9 SIR HENRY CRT|King, Ontario L7B1E6",-79.5423157043645,43.9453614194549,House,5.0,4,2.0,81.51 x 116.16 FT,RIGHT AT HOME REALTY INC.,4.0,0,9468.2016,King--Vaughan
N4589067,L7B1K4,4450000.0,Single Family,"13490 7TH CONCESSION RD|King, Ontario L7B1K4",-79.6064136,43.925091200000004,House,7.0,3 + 2,1.0,600.42 x 3347.65 FT   ; 45.94 Acres|25 - 50 acres,RE/MAX HALLMARK YORK GROUP REALTY LTD.,3.0,2,2009996.013,King--Vaughan
N4589064,L4G1T2,895000.0,Single Family,"97 WELLS ST|Aurora, Ontario L4G1T2",-79.46253440000002,43.9965524,House,2.0,4,2.0,43.33 x 146.66 FT,ROYAL LEPAGE YOUR COMMUNITY REALTY,4.0,0,6354.7778,Aurora--Oak Ridges--Richmond Hill
N4588755,L4E4K6,1699000.0,Single Family,"208 HUNTING RIDGES DR|Richmond Hill, Ontario L4E4K6",-79.4335571691655,43.9175942554965,House,5.0,5 + 1,3.0,36.06 x 134.2 FT,HOME STANDARDS BRICKSTONE REALTY,5.0,1,4839.252,Aurora--Oak Ridges--Richmond Hill
N4588652,L7B0M7,2129000.0,Single Family,"15 PETER GLASS RD|King, Ontario L7B0M7",-79.5470104225952,43.925501950469396,House,4.0,4,2.0,65.03 x 147.54 FT,ROYAL LEPAGE REAL ESTATE SERVICES LTD.,4.0,0,9594.5262,King--Vaughan
N4588577,L4G3H8,1749000.0,Single Family,"140 BRIDGEPOINTE CRT|Aurora, Ontario L4G3H8",-79.43208484747521,44.0305093587724,House,4.0,5 + 1,2.0,50.03 x 124.64 FT,AIMHOME REALTY INC.,5.0,1,6235.7392,Newmarket--Aurora
N4588554,L4G6N3,928000.0,Single Family,"66 BUTTONWOOD TR|Aurora, Ontario L4G6N3",-79.4745412,43.9718122,House,3.0,4 + 1,2.0,40 x 115 FT ; Per Survey,RE/MAX IMPERIAL REALTY INC.,4.0,1,4600.0,Aurora--Oak Ridges--Richmond Hill
N4588535,L4A3V7,2468000.0,Single Family,"6 FALCON HEIGHTS DR|Whitchurch-Stouffville, Ontario L4A3V7",-79.36512440000001,44.0089803,House,6.0,4 + 1,1.0,182.69 x 312.74 FT   ; 32.67 Ft X 306.86 Ft X 182.69Ft X 68.92*|2 - 4.99 acres,KELLER WILLIAMS REALTY CENTRES,4.0,1,57134.4706,Markham--Stouffville
N4588489,L4E4E6,999000.0,Single Family,"68 BAYSWATER AVE|Richmond Hill, Ontario L4E4E6",-79.4457979,43.953075899999995,House,4.0,4 + 1,2.0,44 x 105.7 FT ; Irregular Premium Corner Lot,RE/MAX REALTRON REALTY INC.,4.0,1,4650.8,Aurora--Oak Ridges--Richmond Hill
N4588344,L4G0T1,2599000.0,Single Family,"96 DAVINA CIRC|Aurora, Ontario L4G0T1",-79.45530409999998,43.9657249,House,5.0,4 + 1,2.0,91 x 140 FT ; Irregular,LANDPOWER REAL ESTATE LTD.,4.0,1,12740.0,Aurora--Oak Ridges--Richmond Hill
N4588207,L4E1A2,1200000.0,Single Family,"200 GORMLEY RD W|Richmond Hill, Ontario L4E1A2",-79.3988215,43.9379141,House,3.0,2 + 2,1.0,114.01 x 330 FT|1/2 - 1.99 acres,DREAM HOME REALTY INC.,2.0,2,37623.3,Aurora--Oak Ridges--Richmond Hill
N4588122,L4G0G4,1025000.0,Single Family,"248 RIVER RIDGE BLVD|Aurora, Ontario L4G0G4",-79.4364785,44.011242700000004,House,4.0,4,2.0,40.68 x 103.35 FT,KELLER WILLIAMS REALTY CENTRES,4.0,0,4204.277999999998,Newmarket--Aurora
N4588064,L4G5X4,1290000.0,Single Family,"8 SPYGLASS CRT|Aurora, Ontario L4G5X4",-79.47933090000002,43.9888679,House,3.0,4,2.0,"46.93 x 146.89 FT ; Back: 139.81 Ft, East: 83.66 Ft",BAY STREET GROUP INC.,4.0,0,6893.547699999999,Aurora--Oak Ridges--Richmond Hill
N4587793,L4G2G1,675000.0,Single Family,"28 CORBETT CRES|Aurora, Ontario L4G2G1",-79.474717,43.9844623,House,2.0,2,1.0,48 x 136 FT ; Irreg: Rear 60.3,JAY MILLER REAL ESTATE LTD.,2.0,0,6528.0,Aurora--Oak Ridges--Richmond Hill
N4587755,L0H1G0,1499999.0,Single Family,"4 DONER ST|Whitchurch-Stouffville, Ontario L0H1G0",-79.38310890000002,43.939952500000004,House,4.0,3 + 3,1.0,35.01 x 224.66 FT ; Irreg.87.87 Ftx224.66Ft X 75.84Fx228.37F,RE/MAX ALL-STARS REALTY INC.,3.0,3,7865.3466,Markham--Stouffville
N4587691,L4E3V2,839700.0,Single Family,"47 OLD COLONY RD|Richmond Hill, Ontario L4E3V2",-79.4515384,43.93971679999999,House,3.0,3 + 1,2.0,24.61 x 109.91 FT,PURPLEBRICKS,3.0,1,2704.8851,Aurora--Oak Ridges--Richmond Hill
N4587634,L4E3W5,968000.0,Single Family,"21 PRINCE ALBERT CRT|Richmond Hill, Ontario L4E3W5",-79.44944620000003,43.9544842,House,3.0,3,2.0,48.39 FT ; Irregular,HOME STANDARDS BRICKSTONE REALTY,3.0,0,,Aurora--Oak Ridges--Richmond Hill
N4587576,L4E0E3,939000.0,Single Family,"#28 -484 WORTHINGTON AVE|Richmond Hill, Ontario L4E0E3",-79.44270290000001,43.965255299999995,House,3.0,3,2.0,48.23 x 98.1 FT,RE/MAX HALLMARK REALTY LTD.,3.0,0,4731.3629999999985,Aurora--Oak Ridges--Richmond Hill
N4587406,L7B0E6,1179000.0,Single Family,"4269 LLOYDTOWN/AURORA RD|King, Ontario L7B0E6",-79.6158879,43.9936523,House,3.0,3 + 2,1.0,100 x 202 FT,HOMELIFE/ROMANO REALTY LTD.,3.0,2,20200.0,King--Vaughan
N4587126,L7B1A3,4480000.0,Single Family,"219 CAVELL AVE|King, Ontario L7B1A3",-79.54774640000002,43.9676102,House,8.0,5,2.0,349 x 624 FT|5 - 9.99 acres,HAMMOND INTERNATIONAL PROPERTIES LIMITED,5.0,0,217776.0,King--Vaughan
N4586988,L4E3J2,3860000.0,Single Family,"442 SUNSET BEACH RD|Richmond Hill, Ontario L4E3J2",-79.4378875,43.9453989,House,3.0,4 + 1,,100 x 597.3 FT,RIGHT AT HOME REALTY INC.,4.0,1,59729.99999999999,Aurora--Oak Ridges--Richmond Hill
N4587002,L3X2S5,1019890.0,Single Family,"134 WOODBURY CRES|Newmarket, Ontario L3X2S5",-79.4802097,44.030544299999995,House,4.0,4 + 1,2.0,35.1 x 103.35 FT ; Regular,HOMELIFE/BAYVIEW REALTY INC.,4.0,1,3627.585,Newmarket--Aurora
N4586947,L4G1C9,1668000.0,Single Family,"72 JOSEPH HARTMAN CRES|Aurora, Ontario L4G1C9",-79.4357097,44.0229424,House,4.0,4,2.0,44.95 x 98.43 FT,CENTURY 21 KING'S QUAY REAL ESTATE INC.,4.0,0,4424.428500000001,Newmarket--Aurora
N4586881,L4G5S5,1179000.0,Single Family,"78 ARDILL CRES|Aurora, Ontario L4G5S5",-79.47414570000002,43.9771904,House,4.0,3 + 1,2.0,16.68 x 29.85 M ; East 30.58 West 37.36 Back 29.85,AIMHOME REALTY INC.,3.0,1,497.898,Aurora--Oak Ridges--Richmond Hill
N4586812,L4G7L9,1439000.0,Single Family,"67 WILLIS DR|Aurora, Ontario L4G7L9",-79.4873058,43.9803452,House,5.0,4 + 1,2.0,59.06 x 136.61 FT ; Irreg. 65.6' At Back,RIGHT AT HOME REALTY INC.,4.0,1,8068.186600000001,Aurora--Oak Ridges--Richmond Hill
N4586615,L4E4N8,1178888.0,Single Family,"155 WORTHINGTON AVE|Richmond Hill, Ontario L4E4N8",-79.44250100000002,43.9565644,House,4.0,4 + 2,2.0,36 x 110 FT,RE/MAX HALLMARK REALTY LTD.,4.0,2,3960.0,Aurora--Oak Ridges--Richmond Hill
N4586552,L4A3G5,699000.0,Single Family,"12 VICTOR DR|Whitchurch-Stouffville, Ontario L4A3G5",-79.26566590000002,44.0281784,House,1.0,3 + 1,1.0,102 x 148.91 FT,GALLO REAL ESTATE LTD.,3.0,1,15188.82,Markham--Stouffville
N4586326,L3X2S3,708000.0,Single Family,"162 WARWICK CRES|Newmarket, Ontario L3X2S3",-79.4823188,44.0320646,House,4.0,3 + 1,2.0,22.47 x 106.63 FT,RE/MAX WEST REALTY INC.,3.0,1,2395.9761,Newmarket--Aurora
N4586257,L4E4M8,1099000.0,Single Family,"29 ALOE AVE|Richmond Hill, Ontario L4E4M8",-79.4406804,43.9546597,House,3.0,4,2.0,35.1 x 114.24 FT ; 35.69 Rear,ROYAL LEPAGE YOUR COMMUNITY REALTY,4.0,0,4009.824,Aurora--Oak Ridges--Richmond Hill
N4586230,L3X2L5,859900.0,Single Family,"642 MCBEAN AVE|Newmarket, Ontario L3X2L5",-79.4555557,44.034596,House,3.0,4,2.0,32.02 x 114.83 FT,CENTURY 21 HERITAGE GROUP LTD.,4.0,0,3676.8566000000014,Newmarket--Aurora
N4586172,L7B1K5,2999000.0,Single Family,"1199 WELLINGTON ST|King, Ontario L7B1K5",-79.5113718,43.989796500000004,House,7.0,5 + 3,1.0,95.14 x 336.94 FT|50 - 100 acres,ROYAL LEPAGE SUPREME REALTY,5.0,3,32056.4716,King--Vaughan
N4586174,L7B1K5,1789000.0,Single Family,"15550 DUFFERIN ST|King, Ontario L7B1K5",-79.52065209999998,43.9961006,House,3.0,4,2.0,186.12 x 466.62 FT,SUTTON GROUP-ADMIRAL REALTY INC.,4.0,0,86847.3144,King--Vaughan
N4586154,L4A2Z1,589000.0,Single Family,"22 CONNOR DR|Whitchurch-Stouffville, Ontario L4A2Z1",-79.280454,44.0327528,House,1.0,2,1.0,100 x 100 FT,RE/MAX CROSSROADS REALTY INC.,2.0,0,10000.0,Markham--Stouffville
N4586082,L7B1A3,3250000.0,Single Family,"14570 JANE ST|King, Ontario L7B1A3",-79.564115,43.96125900000001,House,5.0,5 + 2,2.0,330 x 377 FT ; ** Irregular As Per Survey **,RE/MAX WEST REALTY INC.,5.0,2,124410.0,King--Vaughan
N4586069,L3X1L7,1349900.0,Single Family,"868 WILDRUSH PL|Newmarket, Ontario L3X1L7",-79.43598,44.031093,House,4.0,4 + 1,2.0,59.05 x 157.93 FT ; 157.92 On North Side,KELLER WILLIAMS REALTY CENTRES,4.0,1,9325.7665,Newmarket--Aurora
N4586052,L7B1K9,1788000.0,Single Family,"240 DEW ST|King, Ontario L7B1K9",-79.5198025,43.9322503,House,5.0,5 + 1,2.0,78.61 x 81.79 FT,RE/MAX ULTIMATE REALTY INC.,5.0,1,6429.5119,King--Vaughan
N4585917,L4G3T3,749900.0,Single Family,"1 ODIN CRES|Aurora, Ontario L4G3T3",-79.4664993,44.006122399999995,House,3.0,3 + 1,2.0,52.07 x 97 FT ; 85.58 Ft On West Side,KELLER WILLIAMS REALTY CENTRES,3.0,1,5050.79,Newmarket--Aurora
N4585790,L4G7A6,988000.0,Single Family,"15405 BATHURST ST|Aurora, Ontario L4G7A6",-79.49475290000002,43.997772999999995,House,5.0,3 + 1,1.0,75 x 214 FT,RE/MAX REALTRON REALTY INC.,3.0,1,16050.0,Newmarket--Aurora
N4585526,L7B0B5,1550000.0,Single Family,"28 LILLY VALLEY CRES|King, Ontario L7B0B5",-79.506709,43.9317649,House,4.0,4 + 1,2.0,40.03 x 125.61 FT,LIVING REALTY INC.,4.0,1,5028.1683,King--Vaughan
N4585365,L4A3G3,698000.0,Single Family,"33 VALLEY RD|Whitchurch-Stouffville, Ontario L4A3G3",-79.2718727,44.0255838,House,1.0,1,1.0,50 x 200 FT,RIFO REALTY INC.,1.0,0,10000.0,Markham--Stouffville
N4585293,L7B0C9,1185000.0,Single Family,"53 LORNE AVE|King, Ontario L7B0C9",-79.5659926,44.0102019,House,3.0,3,2.0,65 x 302 FT,ENGEL & VOLKERS TORONTO UPTOWN,3.0,0,19630.0,King--Vaughan
N4585258,L4G6M6,1399000.0,Single Family,"51 SPENCE DR|Aurora, Ontario L4G6M6",-79.479114,43.97355820000001,House,4.0,4 + 1,2.0,50 x 114 FT,INTERCITY REALTY INC.,4.0,1,5700.0,Aurora--Oak Ridges--Richmond Hill
N4584032,L7B1J7,1088000.0,Single Family,"15 CHARLES ST|King, Ontario L7B1J7",-79.5356019,43.92715379999999,House,3.0,3 + 2,1.0,100 x 150 FT,RIGHT AT HOME REALTY INC.,3.0,2,15000.0,King--Vaughan
N4585106,L4E3M9,3249000.0,Single Family,"31 KENSINGTON DR|Richmond Hill, Ontario L4E3M9",-79.4177899,43.9212982,House,6.0,4,2.0,182.73 Acre ; Irregular,HOMELIFE LANDMARK REALTY INC.,4.0,0,7959718.8,Aurora--Oak Ridges--Richmond Hill
N4585054,L4G0V6,1399900.0,Single Family,"16 ROTHWELL ST W|Aurora, Ontario L4G0V6",-79.4326978,44.0261253,House,4.0,5,2.0,43 x 98 FT,RE/MAX CENTRAL REALTY,5.0,0,4214.0,Newmarket--Aurora
N4585037,L4A3G4,1195000.0,Single Family,"56 VALLEY RD|Whitchurch-Stouffville, Ontario L4A3G4",-79.2739627,44.0256309,House,4.0,4,2.0,69.88 x 113.85 FT,ONE PERCENT REALTY LTD.,4.0,0,7955.837999999999,Markham--Stouffville
N4584982,L4G0G5,1199000.0,Single Family,"306 RIVER RIDGE BLVD|Aurora, Ontario L4G0G5",-79.4339064,44.0116992,House,5.0,5,2.0,50 x 103.35 FT,BAY STREET GROUP INC.,5.0,0,5167.5,Newmarket--Aurora
N4584913,L4G2B3,676000.0,Single Family,"14 BAILEY CRES|Aurora, Ontario L4G2B3",-79.4715712,43.9821924,House,3.0,4 + 2,1.0,35.24 x 115.5 FT,FIRST OPTIMUM REALTY INC.,4.0,2,4070.22,Aurora--Oak Ridges--Richmond Hill
N4584909,L4E3T7,1049000.0,Single Family,"67 SUNRIDGE ST|Richmond Hill, Ontario L4E3T7",-79.4823628,43.9533416,House,4.0,4 + 1,2.0,32.15 x 109.91 FT,RE/MAX REALTRON REALTY INC.,4.0,1,3533.6065,Aurora--Oak Ridges--Richmond Hill
N4584831,L7B0A7,2488000.0,Single Family,"30 RICHARD SERRA CRT|King, Ontario L7B0A7",-79.5224681,43.920493799999996,House,5.0,4,2.0,77 x 189 FT,RE/MAX NOBLECORP REAL ESTATE,4.0,0,14553.0,King--Vaughan
N4584828,L7B0N4,1869888.0,Single Family,"20 RIA CRT|King, Ontario L7B0N4",-79.5091175,43.925988000000004,House,5.0,4,2.0,68.21 x 144.46 FT ; * Entry As In Yr2694289 Twp Of King,HARVEY KALLES REAL ESTATE LTD.,4.0,0,9853.6166,King--Vaughan
N4584781,L4G7C5,8888800.0,Single Family,"13779 LESLIE ST|Aurora, Ontario L4G7C5",-79.4106058,43.9749605,House,8.0,6 + 1,2.0,446.19 FT   ; 5.05 Acres|5 - 9.99 acres,PETER KWAN REALTY INC.,6.0,1,219978.0,Aurora--Oak Ridges--Richmond Hill
N4584723,L4A3W8,1698000.0,Single Family,"22 LOBRAICO LANE|Whitchurch-Stouffville, Ontario L4A3W8",-79.31325229999999,44.0239661,House,3.0,3 + 1,1.0,5.07 x 5.07 Acre|5 - 9.99 acres,ROYAL LEPAGE RCR REALTY,3.0,1,220849.2,Markham--Stouffville
N4584495,L7B1K1,2100000.0,Single Family,"54 WATCH HILL RD|King, Ontario L7B1K1",-79.5494429,43.9382805,House,4.0,4 + 1,2.0,175 x 479 FT   ; 2.11 Acres|2 - 4.99 acres,INTERCITY REALTY INC.,4.0,1,83825.0,King--Vaughan
N4584270,L4G3R4,799900.0,Single Family,"28 MOORCREST DR|Aurora, Ontario L4G3R4",-79.46509300000002,44.0125437,House,4.0,3 + 1,2.0,34.12 x 100 FT,KELLER WILLIAMS REALTY CENTRES,3.0,1,3411.9999999999995,Newmarket--Aurora
N4584274,L4A4P3,799999.0,Single Family,"326 BAKER HILL BLVD|Whitchurch-Stouffville, Ontario L4A4P3",-79.27470190000003,43.9755176,House,3.0,4,2.0,36.09 x 98.43 FT,VISCO REALTY INC.,4.0,0,3552.338700000001,Markham--Stouffville
N4584233,L4G5S1,1115000.0,Single Family,"99 TAMARAC TR|Aurora, Ontario L4G5S1",-79.47304709999997,43.976499,House,4.0,4,2.0,48.36 x 124.57 FT,ROYAL LEPAGE RCR REALTY,4.0,0,6024.2051999999985,Aurora--Oak Ridges--Richmond Hill
N4584228,L4E0R5,1299888.0,Single Family,"24 ROSSINI DR|Richmond Hill, Ontario L4E0R5",-79.4773535,43.9435153,House,5.0,4 + 1,2.0,40 x 118 FT,HOMELIFE/FUTURE REALTY INC.,4.0,1,4720.0,Aurora--Oak Ridges--Richmond Hill
N4584201,L4G7A1,675000.0,Single Family,"87 OCTOBER LANE|Aurora, Ontario L4G7A1",-79.4434995,43.996471,House,3.0,3,2.0,23.95 x 147.31 FT,ROYAL LEPAGE RCR REALTY,3.0,0,3528.0745,Aurora--Oak Ridges--Richmond Hill
N4584189,L7B1G8,3999900.0,Single Family,"198 HOLLINGSWORTH DR|King, Ontario L7B1G8",-79.5206209,43.92809929999999,House,5.0,4 + 1,2.0,70.36 x 171.47 FT ; 76.65  Ft X 171.47  Ft X 70.36  Ft X 112,RE/MAX WEST REALTY INC.,4.0,1,12064.6292,King--Vaughan
N4584155,L7B1J7,1088000.0,Single Family,"2442 KING RD|King, Ontario L7B1J7",-79.53561831948741,43.927186313880604,House,3.0,3 + 2,1.0,100 x 150 FT ; Address Be Revised To King Rd Corner Lot,RIGHT AT HOME REALTY INC.,3.0,2,15000.0,King--Vaughan
